code,state,2015TII,2015TI,2014TIV,2014TIII,2014TII,2014TI,2013TIV,2013TIII,2013TII,2013TI,2012TIV,2012TIII,2012TII,2012TI,2011TIV,2011TIII,2011TII,2011TI,2010TIV,2010TIII,2010TII,2010TI,2009TIV,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI
0,Albacete,24.66,28.82,27.3,29.03,26.62,27.12,29,30.53,30.59,33.83,33.94,32.17,32.36,29.2,25.4,25.74,24.41,23.31,21.25,22.2,24.06,23.15,21.46,19.17,19.98,18.47,17,11.47,10.37,9.95,10.54,7.66,9.07,9.38,8.22,11.76,10.8,9.28,10.78,10.54,7.2,10.84
1,Alicante,24.11,26.42,24.91,24.34,26.08,28.79,29.48,26.87,27.33,29.34,28.2,27.22,27.29,29.39,25.76,23.56,22.73,23.58,24.68,24.8,23.96,23.2,23.36,21.81,21.25,21.43,15.92,13.5,13.57,10.96,11.23,9.46,10.39,10.93,10.42,8.73,8.48,10.86,10.28,8.58,9.38,10.26
2,Almería,29.09,30.66,35.7,37.53,35.81,33.35,35.69,38.16,34.5,35.87,35.19,37.61,34.44,34.02,32.74,34.91,34.84,31.53,26.53,27.23,30.14,28.15,24.57,30.09,26.95,24.68,24.22,21.58,17.55,14.22,10.78,12.15,10.01,12.84,9.26,10.17,9.15,8.48,9.83,8.46,9.73,8.78
3,Araba,15.54,18.97,16.64,16.32,16.77,19.06,18.75,17.06,16.81,17.43,19.47,14.96,15.54,16.32,11.73,10.25,9.04,11.98,11.14,9.6,10.92,13.7,14.74,12.91,9.42,9.9,7.79,4.38,4.5,3.27,4.55,5.05,5.22,6.94,6.15,6.87,7.43,8.71,6.46,8.68,5.5,7.99
4,Asturias,20.15,18.99,20.78,19.96,21.02,22.75,22.29,24.15,24.56,25.51,23.82,21.83,21.12,20.52,18.84,17.19,17.17,18.16,16.61,14.1,16.35,16.6,14.13,13.54,13.94,12.07,10,7.6,7.84,8.56,8,7.13,9.1,9.44,9.09,9.41,8.09,10.06,9.3,8.99,10.68,11.18
5,Ávila,23.93,25.92,25.33,23.6,26.64,28.6,25.48,23.71,25.87,27.04,22.38,24.03,26.37,25.54,21.89,21.78,24.01,27.56,22.3,21.59,23.47,25.91,21.07,20.11,16.79,18.11,15.21,11.53,9.53,8.83,5.68,7.44,6.83,7.81,7.29,5.57,5.97,8.54,8.52,9.11,8.18,8.55
6,Badajoz,30.83,30.54,31.54,28.53,30.96,34.05,33.07,33.51,34.74,36.26,35.49,32.66,34.2,32.86,30.5,25.33,25.2,27.31,26.1,22.69,23.19,23.84,22.76,19.32,20.69,22.55,19.29,14.98,15.2,13.84,15.34,13.69,13.16,13.96,14.63,11.5,14.99,17.38,16.58,17.05,16.44,19.65
7,Baleares Islas,16.45,22.29,18.88,15.94,19.04,26.7,22.72,16.93,21.14,28.55,24.3,19.56,21.32,27.85,25.49,17.79,19.53,24.98,21.78,16.93,19.79,22.22,19.45,14.78,18.02,19.63,12.05,9.32,8.4,10.98,9.35,4.64,5.55,9.33,6.34,4.72,6.53,8.41,7.5,4.91,6.06,10.7
8,Barcelona,18.97,19.58,19.5,19.11,19.72,21.57,21.39,22.98,23.72,24.38,24.02,22.99,21.55,21.5,20.06,19.56,17.86,18.92,17.76,17.72,17.62,17.81,16.85,15.97,16.15,15.84,11.37,8.54,7.1,7.46,6.35,7.09,6.2,6.45,6.71,6.29,6.22,6.97,6.51,6.03,7.07,7.95
9,Bizkaia,16.99,17.31,18.12,15.98,16.26,18.9,17.61,17.55,17.25,18.64,17.69,18.2,16.44,15.23,15,14.13,13.9,13.6,12.91,11.36,12.34,11.83,13.26,13.06,12.03,11.69,9.77,8.1,6.78,7.02,6.64,7.64,7.37,7,7.42,7.51,8.21,8.8,7.12,8.02,9.7,9.31
10,Burgos,18.74,18.96,18.76,18.08,17.95,18.11,19.08,19.06,20.91,22.6,17.84,16.42,17.77,17.21,14.97,13.71,14.35,16.87,16.35,14.38,16.61,14.15,14.55,12.23,13.44,10.45,10.59,8.14,9.84,8.07,7.45,6.78,5.94,5.92,5.5,6.32,7.01,9.43,6.47,5.49,6.72,8.54
11,Cáceres,27.44,29.73,27.3,26.19,26.86,28.91,31.26,33.02,32.92,34.62,31.26,32.69,32.39,30.81,24.56,20.61,19.68,21.14,19.99,21.69,21.01,22.03,18.38,18.83,19.36,20.86,15.97,14.27,12.21,15.56,13.87,10.02,10.06,10.71,10.16,10.55,11.11,12.79,12.86,12.15,13.12,13.67
12,Cádiz,37.32,42.05,42.34,41.26,42.4,43.23,40.47,37.05,39.7,41.24,39.84,35.46,33.93,36.28,35.03,31.01,31.53,32.53,31.26,29.44,29.67,31.91,28.49,26.17,26.3,26.2,21.8,18.95,18.1,18.09,17.35,14.1,13.51,15.12,13.74,13.1,17.38,17.17,17.41,16.83,17.2,19.12
13,Cantabria,18.15,18.54,18.42,19.04,19.26,20.95,19.81,18.84,22.28,20.86,19.19,15.79,17.42,18.77,15.92,14.13,14.88,16.27,14.67,12.07,13.73,14.33,12.7,11.06,11.67,12.57,8.81,6.32,7.1,6.41,4.72,5.61,6.41,7.11,5.87,6.4,6.53,7.06,8.01,7.07,9.11,9.83
14,Castellón,23.85,25.69,24.62,27.84,27.66,28.21,27.33,27.75,30.75,30.67,26.74,27.15,27.2,27.67,25.85,25.73,26.2,26.08,23.47,23.57,24.28,24.29,21.18,20.44,19.38,17.54,14.29,11.12,9.35,7.98,7.05,6.3,7.27,6.59,6.62,5.38,6.5,6.53,6.56,5.96,8.81,8.58
15,Ciudad Real,32.25,33.98,33.39,32.63,32.64,33.47,30.03,28.89,30.79,32.45,30.74,30.09,32.62,30.82,27.24,23.14,22.91,22.07,22.07,20.04,23.38,23.42,21.17,18.9,20.15,18.98,15.91,14.5,12.46,11.15,9.33,9.25,9.22,9.28,10.13,9.86,11.51,12.21,10.02,9.88,11.38,11.32
16,Córdoba,29.15,30.11,33.88,35.73,33.35,31.6,36.68,37.16,33.3,33.51,34.86,37.44,33.62,32.67,31.36,33.5,33.25,28.38,28.7,31.36,28.83,23.35,25.96,27.75,27.16,23.14,20.19,17.4,15.45,12.25,14.69,12.95,13.53,13.95,15.39,14.42,14.91,13.22,15.67,15.84,13.64,14.23
17,Coruña. A,17.98,19.77,18.41,18.73,20.99,21.69,19.97,20.08,20.36,20.31,19.91,17.72,18.47,17.42,15.9,15.95,15.95,15.51,14.44,13.48,14.12,13.88,11.55,11.21,11.86,11.26,9.38,8.31,8.73,9.25,8.39,6.75,8.22,9.53,8.13,6.88,7.93,9.55,9.07,8.2,10.68,10.58
18,Cuenca,23.82,25.82,27.16,28.32,27.4,29.13,26.12,31.01,29.83,28.52,25.8,20.95,22.27,24.49,19.68,20.89,17.9,19.66,19.98,19.16,18.61,19.66,16.97,14.31,16.38,16.27,9.8,6.64,8.65,6.78,3.9,6.4,7.56,5.17,6.49,6.51,6.73,8.06,7.72,4.67,6.74,6.57
19,Gipuzkoa,14.56,13.74,14.05,13.41,15.61,13.97,13.8,14.31,14.11,14.24,13.24,13.6,13.32,11.72,10.86,10.89,9.79,9.17,7.67,8.22,7.52,8.71,9.15,9.42,9.36,9.2,6.74,4.81,4.74,5.05,5.36,4.34,4.74,5.93,6.43,5.27,5.59,5.74,5.36,6.13,5.39,5.9
20,Gerona,19.21,21.9,22.41,20.32,22.45,24.94,23.69,21.17,22.42,24.66,23.81,21.62,25.47,25.93,23.2,20.94,21.03,21.64,18.45,15.04,17.74,20.2,18.88,16.56,17.5,19.08,13.86,10.45,9.71,9.82,9.06,6.69,6.98,9.12,6.92,5.46,5.68,7.45,6.68,6.35,7.69,8.57
21,Granada,31.12,34.1,35.11,36.3,36.61,35.64,35.82,38.25,36.9,37.17,37.43,36.97,36.28,31.67,29.01,30.2,28.68,28.6,28.88,30.51,28.89,26.66,27.81,27.33,25.85,23.9,23.39,20.5,18.45,14.97,13.85,11.35,11.73,10.6,10.55,11.96,10.33,11.1,13.14,12.69,12.51,14.13
22,Guadalajara,18.6,20.2,23.46,21.83,24.76,23.01,21.26,20.77,23.28,24.93,24.92,22.81,23.77,19.05,21.07,17.79,21.16,18.25,19.53,16.1,15.16,18.02,13.45,13.17,15.25,13.78,11.83,7.44,8.9,6.86,6.14,3.26,5.45,5.16,6.62,7.19,6.63,6.21,7.01,5.15,8.73,7.02
23,Huelva,26.85,28.69,35.26,35.97,28.14,28.44,31.37,35.12,31.88,40.94,36.52,36.4,31.57,34.63,34.26,32.37,25.7,32.63,30.05,29.15,23.62,26.4,23.83,22.12,20.38,23.69,21.1,19.57,14.74,15.41,16.72,14.46,10.86,14.06,13.45,14.11,12.13,16.66,16.52,16.85,14.29,15.07
24,Huesca,15.83,15.89,16.94,14.07,16.9,20.91,19.61,14.38,17.88,16.79,14.35,13.9,14.68,15.43,13.98,11.19,14.57,13.64,12.65,11.17,14.16,13.87,11.68,11.23,9.96,10.44,6.64,4.36,5.54,5.2,4.59,3.21,4.28,4.07,5.24,5.58,4.75,6.42,6.75,6.03,7,7.43
25,Jaén,34.56,35.47,33.33,35.8,35.72,28.28,36.35,40.16,40.47,40.45,36.3,38.63,36.9,31.42,28.22,31.64,29.96,22.48,25.84,27.03,27.32,20.01,24.87,26.56,24.69,18.19,19.89,17.76,16.3,11.98,14.63,14.54,12.02,11.02,12.86,13.09,13.95,14.65,17.04,15.43,17.33,14.03
26,León,20.75,24,22.65,22.48,25.71,26.48,24.39,22.69,24.06,24.43,23.42,21.92,20.65,20.01,17.83,15.75,17.16,18.06,16.34,15.22,15.75,17.28,15.07,14.32,14.95,14.13,10.47,9.54,10.11,8.01,7.63,7.7,7.18,8.24,7.75,8.31,9.38,10.28,10.77,9.64,10.43,12.54
27,Lleida,14.94,16.91,14.46,13.52,15.81,16.39,16.05,14.79,18.61,16.44,17.94,15.32,19.18,18.89,17.23,13.13,12.63,12.13,14.54,14.21,15.24,14.55,12.84,13.15,9.27,10.98,9.4,6.97,5.13,4.72,3.17,3.02,2.48,3.46,4.16,6.54,8.28,6.59,6.86,6.8,6.16,4.88
28,Lugo,16.45,16.8,16.24,17.04,20.65,21.86,19.03,16.79,19.57,20.45,16.73,15.71,16.76,15.24,12,11.34,11.16,13.13,10.26,10.18,11.39,11.3,10.31,8.11,9.9,9.3,6.73,5.98,6.22,6.2,6.12,4.66,4.74,7.52,4.66,6.37,7.62,7.61,7.53,5.93,6.35,7.07
29,Madrid,17.66,17.79,18,17.53,19.03,20.43,20.45,19.41,19.2,19.99,19.32,18.23,18.42,18.15,17.96,16.59,15.62,15.18,15.54,15.76,16.18,15.89,14.48,14.18,13.4,13.36,10.02,8.32,8.67,7.39,6.4,5.97,6.17,6.43,6.46,5.97,6.91,5.87,5.9,6.22,6.96,8.26
30,Málaga,29.95,32.37,30.86,30.44,32.69,36.52,36.2,34.34,35.73,36.67,35.5,33.21,34.32,34.12,31.3,29.83,29.4,32.03,30.12,27.8,28.84,29.73,27.37,23.04,27.33,26.83,23.37,17.82,16.08,15.44,12.36,10.4,10.18,10.4,10.36,10.81,10.59,12.32,11.06,9.86,12.8,12.52
31,Murcia,24.77,26.69,27.26,26.25,25.12,27.71,28.5,28.72,28.79,29.91,29.37,28.34,26.07,26.68,26.31,24.11,23.97,25.55,24.45,23.44,20.86,22.7,21.84,20.55,19.93,18.99,15.29,13.75,11.3,9.38,8.25,8.21,6.49,7.21,7.85,7.88,8.03,7.75,7.43,7.65,8.06,9.01
32,Navarra,12.55,15.66,14.92,14.92,15.88,17.12,16.44,17.92,18.4,18.96,17.17,14.97,16.3,16.21,13.8,11.75,12.87,13.53,11.77,12.51,11.02,12.31,10.51,10.31,12,10.51,8.13,7.25,5.8,6.14,4.28,4.29,5.18,5.13,4.59,4.97,5.69,6.25,5.92,5.26,5.27,6.17
33,Ourense,21.06,23.42,20.59,20.12,22.61,22.06,23.23,24.55,24.53,23.93,22.73,21.13,20.17,19.81,18.78,17.28,17.21,17.83,16.95,15.59,16.59,16.58,12.74,11.53,9.08,8.32,6.46,5.35,5.95,7.24,5.29,5.56,5.48,6.77,8.19,6.34,9.09,12.32,9.44,10.2,11.18,11.8
34,Palencia,19.48,25.36,23.22,21.63,21.14,23.26,21.16,21.84,20.17,22.19,18.74,18.3,20.15,18.8,17.69,17.79,17.15,18.56,16.7,14.22,15.55,14.19,12.77,13.61,14.93,17.06,11.51,10.68,9.2,7.44,5.58,6.09,6.75,6.22,6.11,5.65,8.86,8.15,5.21,4.69,8.97,10.7
35,Palmas. Las,30.53,31.6,32.7,35.22,32.59,31.98,33.47,36.76,34.53,34.53,33.54,33.97,35.38,33.1,31.66,30.93,32.05,30.51,31.36,30.32,31.93,28.91,28.8,27.63,27.06,27.63,22.31,18.45,17.03,15.05,11.99,11.21,11.07,10.66,11.94,12.62,11.12,12.19,12,11.41,13.2,14.1
36,Pontevedra,23.34,25.58,25.46,23.23,24.33,25.81,24.75,24.25,25.22,24.75,23.63,23.76,25.54,25.08,22.86,20.32,19.17,20.47,18.55,17.75,18.23,18.25,15.15,15.03,15.58,15.25,11.96,10.07,9.14,8.38,7.53,7.51,8.21,8.82,8.62,8.04,9.16,10.35,9.68,9.45,13.03,12.03
37,La Rioja,16.39,17.58,17.17,18.23,17.66,19.58,20.24,19.7,20.94,19.26,18.82,20.54,22.81,20.1,18.61,17.7,16.75,15.77,15.58,13.97,12.17,14.86,13.76,12.99,12.57,11.27,9.8,8.25,6.89,6.63,5.88,5.42,5.07,6.7,6.88,5.73,5.99,5.85,6.69,4.77,6.42,7.62
38,Salamanca,16.22,18.26,21.25,18.7,20.64,23.75,22.99,21.71,20.99,22.39,21.38,18.77,19.29,19.57,17.17,16.24,17.06,16.51,15.75,16.14,16.17,16.06,13.67,14.65,16.29,17.94,16.63,12.13,9.46,7.83,7.28,7.82,10.03,9.21,10.37,9.72,9,11.11,11.92,7.2,8.31,10.16
39,Tenerife,30.05,29.94,29.32,31.32,32.78,33.19,32.66,32.48,31.96,32.83,31.53,32.37,29.77,30.35,28.89,27.07,26.51,25.93,26.01,26.73,26.37,26.37,24.49,23.36,24.21,23.93,19.5,16.12,14.68,14.22,9.65,10.35,8.53,9.78,10.72,10.91,11.45,11.84,9.62,10.6,11.02,11.17
40,Segovia,14.11,15.95,14.33,14.09,13.52,15.58,17.79,18.23,20.73,20.56,20.88,18.65,19.46,19.91,15.75,14.12,12.76,12.98,10.78,11.35,13.86,11.7,10.08,11.5,13.53,15.68,10.78,8.62,10.5,11.67,6.16,5.44,5.59,5.2,6.24,7.83,8.61,7.42,4.96,6.5,7.28,8.68
